Hostname,Time,Entry Location,Entry,Enabled,Category,Profile,Description,Company,Image Path,Version,Launch String
INBANL-PC0EAQF5,7/16/2016 7:56,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Userinit,C:\Windows\system32\userinit.exe,enabled,Logon,System-wide,Userinit Logon Application,Microsoft Corporation,c:\windows\system32\userinit.exe,6.3.14393.0,C:\Windows\system32\userinit.exe
INBANL-PC0EAQF5,4/28/2017 5:22,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,WindowsDefender,enabled,Logon,System-wide,Windows Defender notification icon,Microsoft Corporation,c:\program files\windows defender\msascuil.exe,4.10.14393.1198,"""%ProgramFiles%\Windows Defender\MSASCuiL.exe"""
INBANL-PC0EAQF5,4/4/2017 15:38,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,Cyvera,enabled,Logon,System-wide,Traps Tray Process,"Palo Alto Networks, Inc.",c:\program files\palo alto networks\traps\cytray.exe,4.0.0.24417,C:\Program Files\Palo Alto Networks\Traps\cytray.exe
INBANL-PC0EAQF5,7/18/2017 20:11,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,VfTrayIcon,enabled,Logon,System-wide,CyberArk Endpoint Privilege Manager,CyberArk Software Ltd.,c:\program files\cyberark\endpoint privilege manager\agent\x64\vf_host.exe,6.2.1.319,"""C:\Program Files\CyberArk\Endpoint Privilege Manager\Agent\x64\vf_host.exe"" -trayicon"
INBANL-PC0EAQF5,2/27/2016 6:03,HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Run,slackMachineInstaller,enabled,Logon,System-wide,Slack Desktop,Slack Technologies,c:\program files (x86)\slack installer\slack.exe,2.0.3.0,%ProgramFiles%\Slack Installer\slack.exe --checkInstall
INBANL-PC0EAQF5,12/9/2016 21:51,HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Run,Cisco AnyConnect Secure Mobility Agent for Windows,enabled,Logon,System-wide,Cisco AnyConnect User Interface,"Cisco Systems, Inc.",c:\program files (x86)\cisco\cisco anyconnect secure mobility client\vpnui.exe,4.3.5017.0,"""C:\Program Files (x86)\Cisco\Cisco AnyConnect Secure Mobility Client\vpnui.exe"" -minimized"
INBANL-PC0EAQF5,6/25/2015 1:50,HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Run,vmware-tray.exe,enabled,Logon,System-wide,VMware Tray Process,"VMware, Inc.",c:\program files (x86)\vmware\vmware workstation\vmware-tray.exe,10.0.7.62285,"""C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe"""
INBANL-PC0EAQF5,6/8/2017 2:29,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,OneDrive,enabled,Logon,3AMLABS\vigneshb,Microsoft OneDrive,Microsoft Corporation,c:\users\vigneshb\appdata\local\microsoft\onedrive\onedrive.exe,17.3.6917.607,"""C:\Users\vigneshb\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background"
INBANL-PC0EAQF5,9/27/2017 5:46,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,GoToMeeting,enabled,Logon,3AMLABS\vigneshb,GoToMeeting,"LogMeIn, Inc.",c:\users\vigneshb\appdata\local\gotomeeting\7713\g2mstart.exe,8.13.1.7713,"""C:\Users\vigneshb\AppData\Local\GoToMeeting\7713\g2mstart.exe"" ""/Trigger RunAtLogon"""
INBANL-PC0EAQF5,12/14/2016 1:23,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,com.squirrel.slack.slack,enabled,Logon,3AMLABS\vigneshb,,,c:\users\vigneshb\appdata\local\slack\update.exe,1.5.1.0,"""C:\Users\vigneshb\AppData\Local\slack\Update.exe"" --processStart ""slack.exe"" --process-start-args ""--startup"""
INBANL-PC0EAQF5,2/8/2017 13:03,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,GoToMeeting Messenger,enabled,Logon,3AMLABS\vigneshb,Update,GitHub,c:\users\vigneshb\appdata\local\gotomeetingmessenger\update.exe,1.5.2.0,"""C:\Users\vigneshb\AppData\Local\gotomeetingmessenger\update.exe"" --processStart ""GoToMeeting Messenger.exe"""
